Query ID,Node Types,Filters,Execution Time,Cardinality e/a
11,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AFRICA), (r_name,AFRICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%BRASS)",7438.013,"(1,100), (1,100), (1,234363), (47059,1586960), (19608,528987), (3333338,2666667), (346,6612), (346,6612), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,234362), (420994,399587), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
12,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AMERICA), (r_name,AMERICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%BRASS)",7568.98,"(1,100), (1,100), (1,236171), (47059,1604080), (19608,534693), (3333338,2666667), (346,6684), (346,6684), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236170), (420994,399587), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
13,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,ASIA), (r_name,ASIA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%BRASS)",7486.538,"(1,100), (1,100), (1,236875), (47059,1602960), (19608,534320), (3333338,2666667), (346,6679), (346,6679), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236875), (420994,399587), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
14,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,EUROPE), (r_name,EUROPE), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%BRASS)",7457.17,"(1,100), (1,100), (1,236543), (47059,1602640), (19608,534213), (3333338,2666667), (346,6678), (346,6678), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236541), (420994,399587), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
15,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,MIDDLE EAST), (r_name,MIDDLE EAST), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%BRASS)",7480.185,"(1,100), (1,100), (1,235642), (47059,1603360), (19608,534453), (3333338,2666667), (346,6681), (346,6681), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,235642), (420994,399587), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
16,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AFRICA), (r_name,AFRICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%STEEL)",7765.309,"(1,100), (1,100), (1,234302), (47059,1586960), (19608,528987), (3333338,2666667), (346,6612), (346,6612), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (461089,234301), (461089,399621), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
17,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AMERICA), (r_name,AMERICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%STEEL)",7772.506,"(1,100), (1,100), (1,236511), (47059,1604080), (19608,534693), (3333338,2666667), (346,6684), (346,6684), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (461089,236510), (461089,399621), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
18,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,ASIA), (r_name,ASIA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%STEEL)",7793.818,"(1,100), (1,100), (1,236641), (47059,1602960), (19608,534320), (3333338,2666667), (346,6679), (346,6679), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (461089,236639), (461089,399621), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
19,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,EUROPE), (r_name,EUROPE), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%STEEL)",7809.449,"(1,100), (1,100), (1,236148), (47059,1602640), (19608,534213), (3333338,2666667), (346,6678), (346,6678), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (461089,236147), (461089,399621), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
20,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,MIDDLE EAST), (r_name,MIDDLE EAST), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%STEEL)",7784.308,"(1,100), (1,100), (1,236417), (47059,1603360), (19608,534453), (3333338,2666667), (346,6681), (346,6681), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (461089,236417), (461089,399621), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
21,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AFRICA), (r_name,AFRICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%COPPER)",7430.131,"(1,100), (1,100), (1,234698), (47059,1586960), (19608,528987), (3333338,2666667), (346,6612), (346,6612), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,234697), (420994,399601), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
22,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,AMERICA), (r_name,AMERICA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%COPPER)",7455.101,"(1,100), (1,100), (1,236016), (47059,1604080), (19608,534693), (3333338,2666667), (346,6684), (346,6684), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236014), (420994,399601), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
23,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,ASIA), (r_name,ASIA), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%COPPER)",7450.038,"(1,100), (1,100), (1,236256), (47059,1602960), (19608,534320), (3333338,2666667), (346,6679), (346,6679), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236256), (420994,399601), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
24,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,EUROPE), (r_name,EUROPE), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%COPPER)",7499.314,"(1,100), (1,100), (1,236538), (47059,1602640), (19608,534213), (3333338,2666667), (346,6678), (346,6678), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,236535), (420994,399601), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
25,"Aggregate, Hash, Hash, Hash, Hash, Hash Join, Hash Join, Hash Join, Hash Join, Index Scan, Index Scan, Index Scan, Index Scan, Nested Loop, Nested Loop, Nested Loop, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Seq Scan, Sort","(n_nationkey,supplier_1.s_nationkey), (ps_partkey,part.p_partkey), (r_name,MIDDLE EAST), (r_name,MIDDLE EAST), (r_regionkey,nation_1.n_regionkey), (s_suppkey,partsupp_1.ps_suppkey), (text,%COPPER)",7498.247,"(1,100), (1,100), (1,235806), (47059,1603360), (19608,534453), (3333338,2666667), (346,6681), (346,6681), (58824,33333), (1,5), (1,5), (170,25), (1,1), (1,1), (420994,235806), (420994,399601), (1,1), (1,1), (17,4), (17,4), (17,4), (1,1), (1,1), (1,0)"
